user_id,scroll count,mouse movement count,click count,User Record Count,Total Time,Total Distance,validation,Min Score Value,Max Score Value,bf _votes_ 1 _count,bf _votes_ 5 _count,bf _votes_ 3 _count,bs _votes_ 3 _count,miq _votes_ 3 _count,pgi _votes_ 4 _count,bs _votes_ 1 _count,bs _votes_ 4 _count,bs _votes_ 5 _count,miq _votes_ 1 _count,miq _votes_ 2 _count,miq _votes_ 4 _count,miq _votes_ 5 _count,pgi _votes_ 1 _count,pgi _votes_ 2 _count,pgi _votes_ 3 _count,pgi _votes_ 5 _count,pgi _votes_ 7 _count,bf _votes_ 4 _count,bf _votes_ 2 _count,bs _votes_ 2 _count,pgi _votes_ 6 _count,measure_width_covered,measure_height_covered,movesleft,movesright,no_horizontal_movement,perc_left_movement,perc_right_movement,perc_no_movement_x,movesup,movesdown,no_vertical_movement,perc_upwward_movement,perc_downward_movement,perc_no_movement_y,system,Max Speed,Avg Speed,Sd Speed,displacement,displacement_time,speed,speed_times,acceleration,acceleration_times,traj_step_angles,traj_heading,length,net_displacement
1519,181,9178,188,9547,632.922,168814.0091,1,2,7,0,8,13,0,7,11,0,2,2,0,4,30,25,0,1,10,1,30,14,7,0,31,77.86530015,78.3543956,3349,4176,2022,35.07908243,43.74148947,21.17942809,3439,3585,2523,36.02178695,37.55106316,26.42714989,pc,12.03649777,0.055154138,0.307065177,115.2510377,222.0376071,41.59536498,222.0376071,1.450556361,222.0271606,57.89912406,38.13414996,6454.058114,22.84731932
1520,238,21321,329,21888,1276.4,127553.9237,1,1,7,17,5,4,0,8,11,2,0,0,0,5,41,12,0,2,13,21,8,11,5,2,29,150.6976563,124.704692,8318,9044,4525,38.00429479,41.3213323,20.67437292,7391,7861,6635,33.76890392,35.91629735,30.31479874,pc,446.8346784,0.059381799,3.158890623,143.3693219,553.0740966,48.96421334,553.0740966,4.440132976,553.0463092,44.17029269,12.3792088,29677.44964,84.40379138
1523,0,7889,259,8148,372.344,165063.7082,1,1,7,9,8,11,3,10,16,0,0,0,0,3,27,26,3,14,13,20,1,7,7,1,17,29.82592975,22.91382576,3176,2672,2300,38.97889053,32.79332351,28.22778596,1846,3262,3040,22.65586647,40.03436426,37.30976927,pc,37.56196232,0.151388845,0.996982093,175.514432,171.3299642,127.1269611,171.3299642,27.33748152,171.3238206,43.87025193,64.29317068,34225.31424,109.5901455
1524,111,10908,238,11257,509.536,87631.34917,1,1,7,13,8,8,0,1,3,0,3,1,19,6,9,31,46,5,0,5,14,9,4,0,11,58.3125,45.56639248,3866,4254,3137,34.34307542,37.78981967,27.86710491,2850,3820,4587,25.31758017,33.93444079,40.74797904,pc,24.95441274,0.056740713,0.434994494,161.3918303,234.3611464,99.94598316,234.3611464,11.43178287,234.346202,43.82135681,75.68412888,31955.5824,534.8130514
1525,0,14530,229,14759,731.647,145987.4817,1,1,7,5,1,5,0,12,5,1,2,1,3,14,32,5,26,19,3,10,16,15,16,0,5,45.1769958,23.40096154,5674,6164,2921,38.44433905,41.76434718,19.79131377,3586,5033,6140,24.29703909,34.10122637,41.60173453,pc,84.41569405,0.084021416,1.057509384,194.8693938,341.6438707,79.90174588,341.6438707,11.29811172,341.6161195,52.73410131,77.15814382,39168.74815,523.2991496
1526,94,11137,282,11513,1449.75,99983.24606,1,1,7,3,5,8,1,11,9,0,2,0,1,3,31,20,0,1,8,31,8,18,8,1,27,80.51098097,74.76373626,4493,4385,2635,39.02544949,38.08737948,22.88717102,2970,5131,3412,25.79692521,44.5670112,29.63606358,pc,34.54807433,0.037821712,0.500602757,202.3825024,642.1587941,71.69085902,642.1587941,11.21420507,642.1437288,53.59729024,54.86165973,40274.11797,443.852453
1527,51,9277,250,9578,308.113,147085.8513,1,1,6,4,2,17,2,31,32,0,2,0,0,14,20,1,0,1,9,33,0,12,7,0,9,53.28989751,71.13736264,3224,3722,2632,33.66047191,38.85988724,27.47964084,2948,4293,2337,30.77886824,44.82146586,24.3996659,pc,307.6585014,0.405782743,4.772731537,92.30870144,147.9946771,70.21647651,147.9946771,-1.543698384,147.9869219,54.60639902,52.35634721,17723.27068,399.0050125
1528,53,8372,276,8701,243.093,57117.84728,1,1,6,1,0,20,2,26,17,0,1,0,2,26,12,0,2,29,34,1,0,6,15,1,1,62.70497804,80.32162921,2622,3214,2865,30.1344673,36.93828296,32.92724974,4638,2137,1926,53.30421791,24.56039536,22.13538674,pc,121.6427003,0.150121049,1.956493092,91.3198161,115.0145159,75.47990811,115.0145159,1.23136945,115.0100212,65.44972486,-46.25694497,17168.12543,389.7204126
1529,303,2325,52,2680,214.3,14781.94029,0,1,6,7,4,9,3,28,25,0,0,0,8,18,11,1,2,5,7,24,0,10,12,1,21,79.87188873,63.72115385,974,1078,628,36.34328358,40.2238806,23.43283582,1020,989,671,38.05970149,36.90298507,25.03731343,pc,73.71837901,0.161078102,1.578040139,284.5635234,107.755,70.94784841,107.755,22.08652024,107.293,32.48091826,-14.01503025,3699.325804,139.8463442
1531,0,10325,233,10558,703.574,79269.91063,1,1,7,13,5,2,2,7,9,1,0,0,2,9,20,28,26,9,11,5,10,14,8,1,14,37.2296875,30.26442308,4064,3824,2670,38.49213866,36.21898087,25.28888047,2920,4363,3275,27.65675317,41.32411442,31.01913241,pc,33.41642704,0.072314322,0.640285911,200.2157352,318.3163706,80.0796333,318.3163706,5.591957093,318.3017919,47.19698231,74.94817734,39442.49984,548.3766953
